CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
GBRTENW,2010,1,m,34,1078,1214,2004,1683,6013,0.000351156114645652,0.00306285814351216,0.0274489477444605,0.0776790839238127,0.224817096241207,0.0114251736623547,0,0,0
GBRTENW,2010,1,f,51,791,835,1948,3329,6954,0.000552514363081765,0.00223146542416564,0.0174256219547192,0.0575731505234493,0.207854134141638,0.0127701754876413,0,0,0
GBRTENW,2010,1,b,85,1869,2049,3952,5012,12967,0.000449430299705428,0.00264568082617519,0.0222365700784962,0.0662712896008591,0.213257313002151,0.0121091395932704,0,0,0
GBRTENW,2010,2,m,57,1109,1082,1925,1719,5892,0.000588702898082417,0.00315093662444804,0.0244643834098075,0.0746168845076544,0.229626018085939,0.0111952641308156,0,0,0
GBRTENW,2010,2,f,41,687,778,1958,3183,6647,0.000444178213457889,0.00193807426852313,0.016236088479966,0.0578687005774711,0.19873827244603,0.0122064073146897,0,0,0
GBRTENW,2010,2,b,98,1796,1860,3883,4902,12539,0.000518166698483905,0.00254234497796182,0.0201854662498794,0.065114225081006,0.208576885142966,0.0117094548746832,0,0,0
GBRTENW,2010,3,m,44,1045,1045,1755,1609,5498,0.00045443732483555,0.00296909717993526,0.0236278009826699,0.0680273414602252,0.214932090227037,0.0104466330942335,0,0,0
GBRTENW,2010,3,f,40,694,736,1746,3045,6261,0.000433344598495502,0.00195782175015292,0.0153595901301477,0.0516030394322087,0.190121910021414,0.0114975652470697,0,0,0
GBRTENW,2010,3,b,84,1739,1781,3501,4654,11759,0.000444142884414775,0.00246165808278151,0.01932812655432,0.0587084475942833,0.198024647787712,0.0109810574903421,0,0,0
GBRTENW,2010,4,m,48,992,976,1687,1458,5161,0.000495749808911509,0.00281851138994811,0.0220676878077376,0.0653915242412535,0.194761334711634,0.0098063065477154,0,0,0
GBRTENW,2010,4,f,41,644,690,1672,2847,5894,0.000444178213457889,0.00181676830994017,0.0143996157470135,0.0494159690324473,0.177759303064357,0.0108236143693066,0,0,0
GBRTENW,2010,4,b,89,1636,1666,3359,4305,11055,0.000470579960868036,0.00231585544763114,0.0180801004152146,0.0563272423505277,0.183174926670842,0.0103236321588343,0,0,0
GBRTENW,2010,5,m,43,967,914,1635,1441,5000,0.00044410920381656,0.0027474803569353,0.0206658469838854,0.0633758993090987,0.192490454951622,0.00950039386525422,0,0,0
GBRTENW,2010,5,f,47,658,674,1488,2648,5515,0.000509179903232215,0.00185626327319974,0.0140657116137494,0.0439778480384459,0.165334258698425,0.0101276269505812,0,0,0
GBRTENW,2010,5,b,90,1625,1588,3123,4089,10515,0.000475867376158688,0.00230028429242091,0.0172336131208648,0.05236974631161,0.173984268329169,0.00981935704659814,0,0,0
GBRTENW,2010,6,m,59,953,963,1611,1346,4932,0.000609359140120396,0.00270770297844813,0.021773753441446,0.0624456108788734,0.179800244528024,0.00937118850868676,0,0,0
GBRTENW,2010,6,f,48,594,633,1391,2518,5184,0.000520013518194602,0.00167571486972742,0.0132100822722602,0.0411110125144343,0.157217395544802,0.00951978569570502,0,0,0
GBRTENW,2010,6,b,107,1547,1596,3002,3864,10116,0.000565753436099773,0.00218987064638471,0.0173204323305417,0.0503406911391141,0.164410665889927,0.00944675376922366,0,0,0
GBRTENW,2010,7,m,43,976,927,1521,1373,4840,0.00044410920381656,0.00277305152881991,0.020959781350177,0.0589570292655285,0.183406935911573,0.00919638126156608,0,0,0
GBRTENW,2010,7,f,45,629,633,1494,2461,5262,0.00048751267330744,0.00177445227787635,0.0132100822722602,0.044155178070859,0.153658463238982,0.00966302321195984,0,0,0
GBRTENW,2010,7,b,88,1605,1560,3015,3834,10102,0.000465292545577384,0.00227197310112957,0.0169297458869957,0.0505586888022748,0.163134185564694,0.00943367997001754,0,0,0
GBRTENW,2010,8,m,50,1002,948,1551,1334,4885,0.000516406050949489,0.00284692380315323,0.0214345984034173,0.0601198898033101,0.178197270579781,0.00928188480635337,0,0,0
GBRTENW,2010,8,f,50,653,652,1555,2499,5409,0.000541680748119377,0.00184215792917846,0.0136065934305113,0.045958033400392,0.156031084776195,0.00993297083874777,0,0,0
GBRTENW,2010,8,b,100,1655,1600,3106,3833,10294,0.000528741529065209,0.00234275107935791,0.0173638419353802,0.0520846724443998,0.16309163622052,0.0096129777877015,0,0,0
GBRTENW,2010,9,m,49,978,940,1529,1288,4784,0.000506077929930499,0.00277873401146094,0.0212537157164686,0.0592671254089369,0.172052537111512,0.00908997685027523,0,0,0
GBRTENW,2010,9,f,37,600,607,1474,2477,5195,0.000400843753608339,0.00169264128255295,0.0126674880557061,0.0435640779628154,0.154657461780966,0.00953998585825378,0,0,0
GBRTENW,2010,9,b,86,1578,1547,3003,3765,9979,0.00045471771499608,0.00223375299288627,0.0167886646712707,0.0503574601901264,0.16019828081666,0.00931881730556375,0,0,0
GBRTENW,2010,10,m,47,940,912,1446,1297,4642,0.000485421687892519,0.00267076684128147,0.0206206263121483,0.0560498779210744,0.173254767572695,0.00882016566450201,0,0,0
GBRTENW,2010,10,f,26,653,640,1471,2356,5146,0.000281673989022076,0.00184215792917846,0.0133561653305633,0.0434754129466088,0.147102535307209,0.00945000331599113,0,0,0
GBRTENW,2010,10,b,73,1593,1552,2917,3653,9788,0.000385981316217602,0.00225498638635477,0.0168429266773188,0.0489153218030632,0.155432754269126,0.00914045333068023,0,0,0
GBRTENW,2010,11,m,48,964,922,1468,1247,4649,0.000495749808911509,0.00273895663297377,0.0208467296708341,0.0569026423154476,0.166575709455012,0.00883346621591337,0,0,0
GBRTENW,2010,11,f,29,637,650,1427,2334,5077,0.000314174833909239,0.00179702082831039,0.0135648554138533,0.0421749927089128,0.14572891231198,0.00932329320545802,0,0,0
GBRTENW,2010,11,b,77,1601,1572,2895,3581,9726,0.000407130977380211,0.00226631086287131,0.017059974701511,0.0485464026807912,0.152369201488568,0.00908255507705312,0,0,0
GBRTENW,2010,12,m,54,910,923,1488,1205,4580,0.000557718535025448,0.00258552960166611,0.0208693400067027,0.0576778826739687,0.160965300636159,0.00870236078057286,0,0,0
GBRTENW,2010,12,f,39,620,643,1382,2349,5033,0.000422510983533114,0.00174906265863805,0.0134187723555503,0.0408450174658147,0.146665473445091,0.009242492555263,0,0,0
GBRTENW,2010,12,b,93,1530,1566,2870,3554,9613,0.000491729622030644,0.00216580613378707,0.0169948602942533,0.0481271764054822,0.151220369195859,0.00897703084060371,0,0,0
GBRTENW,2010,13,m,36,758,749,1236,1067,3846,0.000371812356683632,0.00215366092094825,0.0169351415655691,0.047909854156603,0.142531100231354,0.00730770296115354,0,0,0
